Session	{No ft}	LUCIR	EEIL	SPPR	CEC	FACT	arithmetic	geometric	harmonic	majority	{Shallow NN}	Ours	{Deep NN}	{Weighted average NN}
1	65.49	75.93	70.92	62.40	72.12	76.11	75.37	75.37	75.37	75.37	75.37	75.37	75.37	75.37
2	58.04	74.21	69.93	62.60	66.95	69.82	69.51	69.98	70.82	67.52	65.93	68.83	60.55	64.24
3	52.10	56.88	5.64	57.64	62.94	64.57	64.58	65.27	66.72	62.50	63.90	66.54	61.12	62.82
4	46.90	44.02	1.63	52.90	59.63	60.12	60.05	59.87	62.21	58.29	59.57	63.09	59.26	53.77
5	42.41	31.86	1.88	49.01	56.91	55.89	55.43	55.41	57.53	53.36	56.77	57.86	55.68	53.17
6	38.74	25.83	2.60	45.75	53.87	52.24	51.75	51.13	52.44	50.08	54.35	56.40	53.51	50.58
7	35.56	22.47	2.74	42.81	51.37	48.95	48.56	47.93	48.64	46.69	50.73	53.50	46.96	47.50
8	32.66	18.48	1.27	39.34	49.36	46.72	45.26	44.23	44.66	43.94	43.81	50.36	47.04	44.18
9	30.08	14.75	1.05	36.90	47.72	44.77	42.74	41.26	41.26	40.88	46.67	48.81	43.77	37.46
