epoch	loss	val_loss
0	5.523430074055989	5.143311468760173
1	5.0902076276143395	4.981988620758057
2	4.886042851342095	4.867533270517985
3	4.765534564830639	4.759875475565592
4	4.6460075689245155	4.641582622528076
5	4.5270449800844546	4.529205188751221
6	4.4062967342800565	4.398769130706787
7	4.287999224486175	4.276617310841878
8	4.167451182471381	4.169777075449626
9	4.049072043807418	4.067413965861003
10	3.930620076214826	3.938356695175171
11	3.810920025154396	3.82584308942159
12	3.6928630963078253	3.7140949122111
13	3.576611077697189	3.602892548243205
14	3.4616216309865315	3.4895532162984213
15	3.34908157242669	3.3754365189870197
16	3.2364235874458593	3.27271772702535
17	3.124251773622301	3.1558240922292073
18	3.018059265348646	3.0597328980763754
19	2.911500804335983	2.951077973047892
20	2.8085357510602034	2.851001733144124
21	2.7068084776843038	2.76348690032959
22	2.610650021588361	2.6684470653533934
23	2.5168893577434397	2.5730559412638345
24	2.427052917127256	2.4871413771311444
25	2.3401867453257243	2.399285364151001
26	2.2588245695608635	2.3138758246103923
27	2.179722628770051	2.242242368062337
28	2.1048917720935965	2.1682748476664226
29	2.03217801394286	2.104413642883301
30	1.9659877058311745	2.0402904033660887
31	1.9033654211185596	1.9797339804967244
32	1.8434382934923526	1.9236898549397787
33	1.7889314227634006	1.8671077489852905
34	1.7362831567834924	1.8172133827209473
35	1.6875653206860577	1.7708384370803834
36	1.6413635487026639	1.721500277519226
37	1.5990420099540994	1.6808062171936036
38	1.5584196163106847	1.6491111628214519
39	1.5212467015231097	1.6106046613057454
40	1.4853843026691014	1.5772156318028767
41	1.4531187726833201	1.5430031855901083
42	1.4203718782354284	1.514035415649414
43	1.3923255102722734	1.4860837491353354
44	1.364004538677357	1.4638374360402424
45	1.338542342539187	1.4322717173894246
46	1.3138243118921915	1.413291516304016
47	1.2911730785723086	1.3925381310780842
48	1.2683546078646624	1.3676751629511514
49	1.2487451060612997	1.3460297473271687
50	1.227937037150065	1.3328377723693847
51	1.209725502508658	1.3133027013142904
52	1.1923382345835367	1.3014660580952961
53	1.1747072996916594	1.280563956896464
54	1.1580939854515924	1.266066188812256
55	1.1431082209834347	1.251939582824707
56	1.128588968736154	1.237545574506124
57	1.113910307177791	1.2249352677663168
58	1.1007869582706027	1.2090045261383056
59	1.0867205022882531	1.1975215180714924
60	1.0737389506234063	1.1900581439336142
61	1.0636585800736038	1.1807652282714844
62	1.05109164096691	1.1625117222468058
63	1.0400164233313667	1.1548123462994893
64	1.0289822414186265	1.1486406850814819
65	1.0180105896349307	1.1379071315129599
66	1.0075501320097182	1.1312328131993612
67	0.9985922813415528	1.1151123825709026
68	0.9882930633756849	1.1077575095494587
69	0.9795628794917354	1.1051946703592936
70	0.9706473280765392	1.096455070177714
71	0.9624036606152853	1.085868870417277
72	0.9540978175622445	1.078547221024831
73	0.9448160141485709	1.0682099453608196
74	0.9369295238565516	1.0615788316726684
75	0.9289710949085377	1.059257845878601
76	0.9220873563377946	1.0498358345031737
77	0.9141575411513999	1.0423295005162556
78	0.9063378007323654	1.0361795838673908
79	0.9001631783556056	1.0331532581647238
80	0.8933801414348461	1.024773625532786
81	0.8864203635851542	1.0143292212486268
82	0.8795787749467072	1.0142761985460917
83	0.8741348789356373	1.0108419879277548
84	0.8676380313767327	1.006158185005188
85	0.8608822385470073	0.9969383176167806
86	0.8553556746906704	0.9914603455861409
87	0.8497970471558748	0.9843941489855449
88	0.8426333520147535	0.9792652956644694
89	0.8387315554089017	0.9776655658086141
90	0.8318963536509761	0.9669179789225261
91	0.8272926418869584	0.9642814604441324
92	0.8219571672545539	0.9635011458396912
93	0.817165437274509	0.9527797555923462
94	0.8113813540670607	0.950701269308726
95	0.8063884761598376	0.950299375851949
96	0.8013804688277067	0.9435526371002197
97	0.796448827319675	0.9372174048423767
98	0.7923687171053003	0.9314284388224284
99	0.7866715224583943	0.9247572994232178
