epoch	loss	val_loss
0	5.081257486696597	5.028756484985352
1	5.017512339839229	5.023873825073242
2	5.011191886619286	5.016743882497152
3	5.01024661593967	5.017432181040446
4	5.010669318305122	5.027777620951334
5	5.009786422870778	5.025737539927165
6	5.011275658077664	5.027859414418538
7	5.009822758568657	5.0271953773498534
8	5.0099197832743325	5.032250130971272
9	5.009519800963226	5.021999664306641
10	5.009291616369177	5.048157488505046
11	5.008333526893899	5.028387705485026
12	5.007113452487522	5.031869150797526
13	5.00311079731694	5.036215947469075
14	4.989500698513455	5.025382664998372
15	5.010391695940936	5.028251984914144
16	5.010035411693432	5.032060877482096
17	5.009412664484095	5.035953960418701
18	5.00951604631212	5.039246158599854
19	5.009185574143022	5.04207722345988
20	5.009013847068504	5.043628559112549
21	5.00897051775897	5.045776475270589
22	5.008786776507343	5.046247272491455
23	5.00885644418222	5.0503710238138835
24	5.008714022459807	5.0507075945536295
25	5.008822105549	5.053655427296956
26	5.008685296376546	5.0561289278666175
27	5.008640296370895	5.052827548980713
28	5.008665295353643	5.0527284049987795
29	5.008544384285256	5.0530093447367355
30	5.008493381076389	5.057602882385254
31	5.008528229042335	5.060512860616048
32	5.008582885177047	5.059903087615967
33	5.008594636563902	5.060049266815185
34	5.008548600938585	5.055821304321289
35	5.008421161086471	5.057347819010417
36	5.0084607724790215	5.056747124989827
37	5.008466168862802	5.055545431772868
38	5.0084439101042575	5.058151563008626
39	5.008471577255814	5.056906255086263
40	5.008471755981446	5.05423459370931
41	5.0084050877888995	5.057917009989421
42	5.008423360188802	5.0579410044352215
43	5.008487452047842	5.058823973337809
44	5.008466423882378	5.054073136647542
45	5.008373314892804	5.055877882639567
46	5.008382917333532	5.057339502970378
47	5.008349473034894	5.059017855326335
48	5.008405838719121	5.05917584101359
49	5.008451158735487	5.05716636021932
50	5.0083752208285865	5.056820500691732
51	5.008350565875018	5.0570622762044275
52	5.008387371345803	5.056938037872315
53	5.008400022012216	5.054941012064616
54	5.008382127549913	5.056123867034912
55	5.008290196171513	5.057558917999268
56	5.008419765189842	5.06334685643514
57	5.008322156976771	5.061431001027425
58	5.008359220292833	5.057612883249918
59	5.008298358210811	5.056935246785482
60	5.008302714029948	5.059502468109131
61	5.008294231979935	5.059288711547851
62	5.008413997226291	5.060863463083903
63	5.008388530589916	5.061426709493001
64	5.008375860850016	5.057486197153727
65	5.008338190714518	5.058529720306397
66	5.008285118385597	5.05861541112264
67	5.008315696716308	5.061098359425863
68	5.008345028206154	5.05773764928182
69	5.008371964913827	5.060208053588867
70	5.008337859400997	5.0587273534139
71	5.008286981229429	5.05764918645223
72	5.008294490531639	5.055768795013428
73	5.0082809010258424	5.057563082377116
74	5.008245406680637	5.058427619934082
75	5.008275437531648	5.060948766072591
76	5.0083162011040585	5.059019400278728
77	5.008233545797842	5.058519827524821
78	5.008273110566316	5.059684969584147
79	5.008259832594129	5.0572141202290855
80	5.0082705080950705	5.060804754892985
81	5.008303334977891	5.06107032140096
82	5.0083049371507435	5.060010706583659
83	5.008272444407146	5.060364475250244
84	5.008367740489819	5.062781092325847
85	5.008279938874422	5.061437187194824
86	5.0082208845350475	5.060420926411947
87	5.008256474954111	5.060989691416423
88	5.008244863439489	5.061819852193197
89	5.00827292477643	5.062070827484131
90	5.008273666523121	5.05980494817098
91	5.008273011666757	5.055908648173014
92	5.008287394488299	5.057579561869304
93	5.008273075245045	5.056505349477132
94	5.008222387808341	5.058371365865072
95	5.008248423823604	5.058123455047608
96	5.00824495739407	5.059339192708333
97	5.008225140041775	5.058569316864014
98	5.008248180106834	5.059686959584554
99	5.008272556022361	5.061390183766683
